Data	VVT	DIR	MedX	MedY
41014.5	5.22	260.1	5.142270683	0.897469903
41014.50694	6.78	290.5	6.350637443	-2.374406045
41014.51389	7.16	269.5	7.159727369	0.062481994
41014.52083	7.38	291.5	6.866481652	-2.704779053
41014.52778	6.78	302.3	5.730875229	-3.622908929
41014.53472	6.978038206	309.0384615	5.420005113	-4.395061066
41014.54167	7.511628561	308.8461538	5.850303905	-4.711529248
41014.54861	7.996616693	309.4230769	6.177209363	-5.078185014
41014.55556	7.95421901	309.3076923	6.154618063	-5.038876518
41014.5625	8.210673289	309.3461538	6.3495579	-5.205599902
41014.56944	6.560265913	309.7692308	5.042398605	-4.196582556
41014.57639	5.621312343	308.9615385	4.370953927	-3.534673142
41014.58333	6.648163549	308.9615385	5.169400809	-4.180355709
41014.59028	6.021505109	309.4615385	4.648911428	-3.827028392
41014.59722	7.782560098	308.9230769	6.05475519	-4.889599295
41014.60417	8.011093951	309.3846154	6.191806387	-5.083223383
41014.61111	7.70810563	309.5384615	5.944471195	-4.906949623
41014.61806	7.07937901	309.0769231	5.495724476	-4.462579932
41014.625	6.410322887	308.5384615	5.014091091	-3.993886584
41014.63194	6.962526859	309.1923077	5.396162565	-4.399796567
41014.63889	6.26348213	308.8076923	4.880842455	-3.925377093
41014.64583	6.63885674	308.4615385	5.198396524	-4.12929684
41014.65278	7.690526102	308.9230769	5.983153647	-4.831776503
41014.65972	7.476469506	309.0384615	5.807148336	-4.708994
41014.66667	9.172376836	309.5384615	7.073713376	-5.839098894
41014.67361	8.324423171	309.2307692	6.448139493	-5.264742939
41014.68056	8.355445866	309.3076923	6.465069416	-5.293047617
41014.6875	8.283059578	309.1153846	6.426635705	-5.225651106
41014.69444	6.13628908	308.6923077	4.78946164	-3.836026705
41014.70139	6.676083974	309.0769231	5.182646395	-4.208357587
41014.70833	8.069002982	309.1153846	6.260554109	-5.090606189
41014.71528	7.720514708	309.0769231	5.993438349	-4.866728275
41014.72222	10.30987565	309	8.012278228	-6.488214978
41014.72917	10.34089835	309.0769231	8.027643115	-6.518521665
41014.73611	8.510559341	309.1538462	6.599541836	-5.373608458
41014.74306	9.451581091	309.0384615	7.341263595	-5.953002096
41014.75	8.903513479	309	6.919329543	-5.603162584
41014.75694	8.541582036	309.1538462	6.623598489	-5.393196338
41014.76389	9.120672344	309.0384615	7.084239049	-5.744581892
41014.77083	9.751467143	309.1153846	7.565939414	-6.152046183
41014.77778	9.492944685	309.1538462	7.361335851	-5.993891329
41014.78472	8.122775653	308.8076923	6.329704059	-5.09061203
41014.79167	9.286126718	309.0384615	7.212751322	-5.848791994
41014.79861	8.039014377	308.9230769	6.254274096	-5.050723481
41014.80556	8.613968325	309.0384615	6.690670213	-5.425438453
41014.8125	8.345104968	308.8846154	6.495927647	-5.238673585
41014.81944	9.244763124	309	7.184530327	-5.817917944
41014.82639	8.70703641	309.1153846	6.755589593	-5.493131374
41014.83333	7.261378821	308.7307692	5.664561857	-4.543166445
41014.84028	7.677082934	308.7307692	5.988850359	-4.803256578
41014.84722	8.345104968	308.8846154	6.495927647	-5.238673585
41014.85417	9.368853904	309.0769231	7.273044662	-5.905780628
41014.86111	9.875557923	309	7.674749957	-6.214889974
41014.86806	10.24783026	309.1153846	7.95105616	-6.465193815
41014.875	10.46498913	309	8.132824039	-6.585831051
41014.88194	8.758740902	309.0769231	6.799413718	-5.52118785
41014.88889	7.621242083	309.3461538	5.893733214	-4.831898146
41014.89583	10.49601182	309.0769231	8.148057761	-6.61629949
41014.90278	10.36158015	309.1153846	8.039312081	-6.536956814
41014.90972	9.64805816	309.4615385	7.448796775	-6.131920813
41014.91667	10.71317069	309.6923077	8.243627433	-6.842121965
41014.92361	10.53737542	309.6153846	8.117383475	-6.718955739
41014.93056	9.224081327	309.6153846	7.105697801	-5.8815589
41014.9375	9.399876599	309.7692308	7.225000524	-6.013073051
41014.94444	8.872490784	309.2307692	6.872675385	-5.611365766
41014.95139	7.463026339	309.5	5.758654589	-4.747068511
41014.95833	7.95318492	309.8461538	6.106198038	-5.095831228
41014.96528	7.342037828	309.4615385	5.668430557	-4.6663063
41014.97222	7.952150831	309.5769231	6.129278615	-5.066423441
41014.97917	9.420558396	309.3076923	7.28920574	-5.967780172
41014.98611	10.57873901	309.1538462	8.20331871	-6.679467135
41014.99306	12.35737353	309.2307692	9.572082849	-7.815363742
41015	11.82998771	309.1538462	9.173603719	-7.469511635
41015.00694	11.73691963	309	9.121299688	-7.386282849
41015.01389	11.19919291	309.2692308	8.670193846	-7.088699496
41015.02083	10.24783026	309.5384615	7.903100288	-6.523728302
41015.02778	12.71930497	309.3076923	9.841627947	-8.057485852
41015.03472	11.35430639	309.2692308	8.790279634	-7.18688093
41015.04167	11.03373854	309.2692308	8.54210234	-6.983972634
41015.04861	10.87862506	309.4230769	8.403497025	-6.908380492
41015.05556	8.64499102	309.8461538	6.637344376	-5.539091024
41015.0625	9.999648704	309.3846154	7.728768267	-6.345007114
41015.06944	8.696695512	309.5384615	6.706869164	-5.536282041
41015.07639	9.627376363	309.6538462	7.412250461	-6.143689343
41015.08333	10.53737542	309.4615385	8.135395406	-6.697135379
41015.09028	10.18578487	309.6923077	7.837811797	-6.505299358
41015.09722	11.50941986	309.3461538	8.900576753	-7.297018503
41015.10417	10.86828417	309.5384615	8.381592737	-6.918706807
41015.11111	8.924195275	309.4230769	6.893743282	-5.667236088
41015.11806	8.996581564	309.7692308	6.915017003	-5.755086418
41015.125	10.97169315	309.8461538	8.423710984	-7.029875092
41015.13194	8.758740902	309.8846154	6.720909131	-5.616486681
41015.13889	10.15476218	309.3076923	7.857299711	-6.432887079
41015.14583	9.906580619	310.0769231	7.580325	-6.378010069
41015.15278	7.091788088	310.1153846	5.423433723	-4.569444707
41015.15972	8.355445866	309.7307692	6.425809204	-5.340641506
41015.16667	6.560265913	309.6153846	5.05364875	-4.183027989
41015.17361	9.410217498	308.8846154	7.325023741	-5.907302308
41015.18056	7.191060712	309.1538462	5.576332191	-4.540470621
41015.1875	8.500218443	309.2307692	6.584311383	-5.375923846
41015.19444	7.726719247	309.1923077	5.988434083	-4.882709037
41015.20139	7.838400949	309.4230769	6.054991202	-4.977711419
41015.20833	9.865217025	309.3461538	7.629065789	-6.254587288
41015.21528	8.122775653	309.3461538	6.281584043	-5.149872447
41015.22222	10.06169409	309.2307692	7.793838169	-6.3634719
41015.22917	10.74419338	309.3461538	8.308804355	-6.811861837
41015.23611	10.80623877	309.1153846	8.3843125	-6.817484901
41015.24306	10.28919386	309.2692308	7.965690561	-6.512701753
41015.25	9.141354141	309.8461538	7.018435919	-5.857124958
41015.25694	9.451581091	309.9615385	7.244407812	-6.070497556
41015.26389	9.203399531	310.1153846	7.038285234	-5.930017191
41015.27083	7.546787615	310.1538462	5.768128414	-4.866487225
41015.27778	6.76708388	310	5.183887002	-4.349797672
41015.28472	7.959389459	309.7692308	6.117802974	-5.09159772
41015.29167	7.655367048	309.6538462	5.893973165	-4.885255876
41015.29861	7.684321563	309.6153846	5.919556094	-4.899760559
41015.30556	9.048286056	309.7692308	6.95475848	-5.788161628
41015.3125	9.420558396	309.6923077	7.248981266	-6.016576361
41015.31944	9.823853432	309.7692308	7.550880635	-6.284289767
41015.32639	9.451581091	309.8461538	7.256618133	-6.055896167
41015.33333	8.64499102	309.9615385	6.626176073	-5.552446342
41015.34028	8.934536174	310.0769231	6.836535282	-5.752192797
41015.34722	9.089649649	309.5	7.013797124	-5.781728172
41015.35417	9.306808514	309.3846154	7.193269328	-5.905384077
41015.36111	10.89930686	309.3461538	8.428758219	-6.910204404
41015.36806	8.975899767	309.8461538	6.891405404	-5.751113647
41015.375	8.39680946	309.5	6.479184601	-5.341027617
41015.38194	7.623310263	309.4615385	5.885587334	-4.845071837
41015.38889	6.751572532	309.8461538	5.183638927	-4.325924078
41015.39583	8.717377308	309.6923077	6.707893751	-5.567479552
41015.40278	6.863254234	310.1538462	5.245693105	-4.425716047
41015.40972	7.525071729	310.1538462	5.75153062	-4.852483905
41015.41667	6.027709648	310.1538462	4.607073243	-3.886921627
41015.42361	7.075242651	309.8461538	5.432142371	-4.533308707
41015.43056	6.359652485	309.7692308	4.888201674	-4.068250744
41015.4375	7.45475362	309.1153846	5.783972135	-4.703085995
41015.44444	9.513626481	309.2307692	7.369302277	-6.016849073
41015.45139	7.684321563	309.4615385	5.932691193	-4.883848185
41015.45833	8.45885485	309.6153846	6.516211661	-5.393626884
41015.46528	7.436140003	309.6923077	5.72200047	-4.74919875
41015.47222	7.650196599	309.6153846	5.893268199	-4.878001429
41015.47917	7.33169693	309.4615385	5.660446852	-4.659734037
41015.48611	6.981140476	309.9615385	5.350874961	-4.483799672
41015.49306	7.351344636	309.8461538	5.644124542	-4.710215083
